q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
112.408,-7.383,123.560,-180.000,-76.977,-127.531,d_5,-0.559,0.213,1.335,1.020,-0.376,-1.170,-0.335,-6.232,1.851,0.003,0.501,2.001,-0.268,-0.063,-0.852,0.098,0.511,0.298,0.187,0.149,0.172,-0.326,0.020,0.000,-0.000
112.313,-7.646,123.646,-180.000,-76.806,237.560,d_5,-0.559,0.155,1.377,1.052,-0.372,-1.196,-0.340,-6.249,1.852,0.041,0.496,1.999,-0.262,-0.064,-0.870,0.097,0.503,0.302,0.191,0.145,0.169,-0.318,0.020,-0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.910,5.160,135.990,-79.626,53.632,258.926,alpha_4,-5.457,0.190,1.108,1.450,-0.566,-0.782,-0.243,-0.388,0.331,-1.713,0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.910,5.160,135.990,-84.649,52.526,-113.859,alpha_4,-5.440,0.254,1.326,1.736,-0.576,-0.813,-0.255,-0.603,0.399,-2.003,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.000
105.910,5.160,135.990,-88.878,54.094,230.183,alpha_4,-5.383,0.329,1.541,2.017,-0.544,-0.825,-0.254,-0.751,0.453,-2.257,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000
105.909,5.154,135.990,-92.530,51.457,216.056,alpha_4,-5.336,0.507,1.669,2.185,-0.582,-0.811,-0.265,-0.945,0.506,-2.451,0.001,-0.000,0.000,-0.001,-0.001,-0.000,0.000,0.000,0.000,-0.000,-0.001,0.000,0.000,-0.000,-0.000
105.908,5.160,135.991,-89.520,120.110,140.390,alpha_4,-5.300,0.081,-1.594,-2.087,-0.478,0.929,0.176,-0.663,0.393,2.255,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000
105.910,5.160,135.990,-86.479,119.546,-232.745,alpha_4,-5.294,-0.042,-1.465,-1.918,-0.472,0.926,0.170,-0.552,0.356,2.085,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.911,5.161,135.986,-90.999,120.419,-210.403,alpha_4,-5.293,0.178,-1.654,-2.166,-0.482,0.925,0.178,-0.719,0.412,2.335,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000
105.913,5.140,135.943,-73.887,54.066,-360.000,alpha_4,-2.984,0.775,-0.317,-0.415,-0.641,-0.503,-0.205,-0.153,0.257,-1.118,0.182,0.001,0.001,-0.009,-0.002,-0.000,-0.001,0.001,-0.000,0.000,-0.002,-0.000,-0.000,0.000,-0.000
106.227,4.939,136.343,118.639,-70.340,117.047,alpha_4,-2.208,-0.476,-0.321,-0.421,-0.008,3.656,0.946,-6.341,1.751,-3.178,0.346,0.000,-0.000,0.053,0.023,0.005,0.009,0.000,0.003,0.004,0.016,0.000,-0.002,-0.000,-0.000
105.482,5.115,136.135,113.292,-109.261,-130.671,alpha_4,-1.751,-0.581,0.643,0.842,0.000,-4.702,-1.249,-5.581,1.550,2.602,0.385,0.008,-0.002,-0.045,0.037,-0.006,-0.010,-0.000,0.000,0.002,-0.046,-0.000,-0.004,-0.000,-0.000
105.93,-10.52,117.31,-16.77,90,-15.93,LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,
105.910,5.160,135.990,-120.342,90.537,-7.383,a_4,-2.771,0.674,0.059,0.077,-0.866,0.333,0.001,-1.644,0.734,-0.041,0.865,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.886,-1.173,136.897,86.401,-86.621,181.363,a_4,-1.960,-0.848,0.135,0.177,0.290,-0.273,-0.133,-0.204,0.645,0.006,1.701,0.018,-0.005,-0.210,-0.606,-0.000,-0.046,0.198,0.080,-0.001,-0.132,0.002,-0.000,0.000,-0.000
105.886,-1.173,136.897,86.401,-86.621,181.363,a_4,-1.960,-0.848,0.177,0.135,0.290,-0.273,-0.133,-0.204,0.645,0.006,1.701,0.018,-0.210,-0.005,-0.606,-0.000,-0.046,0.198,0.080,-0.001,-0.132,0.002,-0.000,0.000,-0.000
