q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,a_5,theta_6,alpha_6,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.650,24.050,141.180,-138.264,82.192,173.179,8.000,-103.920,0.021,0.059,-0.127,-0.120,0.024,0.111,0.148,-0.055,1.039,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000
14.650,24.050,141.180,-133.668,101.431,-156.289,8.000,-96.477,-0.038,0.050,-0.110,0.178,-0.043,0.149,0.142,-0.087,0.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000
14.650,24.050,141.180,-130.351,112.127,-133.784,8.000,-92.075,0.061,-0.102,0.212,0.325,0.069,0.004,0.169,-0.000,0.921,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
14.650,24.050,141.180,-122.158,116.697,-117.390,8.000,-79.194,0.115,-0.136,0.285,0.401,0.129,0.044,0.167,-0.008,0.792,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000
14.650,24.050,141.180,-130.835,81.576,-112.263,9.000,-3.189,1.129,-0.130,-0.199,-0.109,1.271,-0.231,-0.684,0.063,0.850,-1.340,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.050,141.180,-127.185,81.663,-104.815,9.000,-3.186,1.080,-0.133,-0.239,-0.108,1.217,-0.221,-0.715,0.063,0.788,-1.294,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000
14.650,24.050,141.180,-133.829,80.355,-121.620,9.000,-3.177,1.161,-0.118,-0.172,-0.126,1.308,-0.217,-0.657,0.043,0.902,-1.366,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.050,141.180,-140.199,65.925,179.909,9.000,-2.551,0.844,-0.090,0.084,-0.334,0.950,-0.126,-0.339,-0.060,1.054,-0.907,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.650,24.050,141.180,-136.619,106.736,-179.909,9.000,-2.424,-0.798,-0.041,-0.105,0.229,-0.898,0.002,0.600,-0.099,0.947,0.832,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
21.244,26.882,132.820,29.552,-48.041,-148.001,9.000,-0.756,-0.662,0.000,-0.738,-0.889,-0.745,2.025,-1.731,1.061,-0.341,1.627,0.688,0.815,0.515,0.017,-0.142,-0.440,-0.425,0.005,0.032,0.193,-0.608,0.075,0.000,-0.000
