q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
-124.521,31.336,14.470,-82.120,-119.957,24.377,8.000,-0.074,0.048,0.259,-0.875,-0.025,0.054,0.608,1.549,-1.862,0.966,1.343,-4.517,3.821,-0.079,1.734,-0.450,2.009,3.315,0.520,-0.488,7.697,6.577,1.232,0.000,-0.000
114.122,-64.268,121.753,42.777,53.244,125.340,8.000,-0.074,-0.335,0.259,-0.647,-0.274,-0.377,0.623,-0.058,-0.137,0.904,-0.131,-3.194,-0.433,-0.154,1.558,-5.940,2.611,4.694,-0.428,0.301,7.583,-3.138,1.036,-0.000,-0.000
105.144,-58.830,123.366,31.550,50.569,132.433,8.000,-0.074,-0.360,0.259,-0.624,-0.318,-0.405,0.463,-0.032,0.002,0.884,-0.015,-3.134,-0.267,-0.341,1.450,-6.360,2.397,4.653,-0.312,0.292,6.790,-3.513,0.961,-0.000,-0.000
129.488,-89.727,134.361,62.226,58.422,-179.908,8.000,-0.074,-0.057,0.259,-0.575,-0.213,-0.064,-0.162,-0.110,0.279,0.930,-0.153,-3.987,-0.033,-0.481,1.698,-4.148,3.876,4.603,-0.853,0.292,8.780,-2.225,1.155,0.000,-0.000
-127.125,22.959,-108.655,-179.909,137.278,70.169,8.000,-0.073,-0.345,0.259,-0.840,-0.224,-0.389,0.843,-0.020,-1.075,0.869,2.727,-2.827,-0.706,0.190,0.604,1.279,-2.170,2.399,0.377,-0.966,8.167,6.060,0.924,0.000,-0.000
-129.488,21.851,-110.027,-179.909,131.097,90.797,8.000,-0.073,-0.453,0.259,-0.710,-0.378,-0.510,0.646,-0.009,-0.687,0.867,2.636,-2.470,-0.409,0.441,0.580,1.631,-2.614,2.266,0.363,-1.009,8.394,5.888,0.890,0.000,-0.000
129.488,-16.860,68.282,65.059,73.388,104.536,8.000,-0.071,-0.559,0.259,-0.672,-0.429,-0.629,0.525,-0.211,-0.315,0.799,0.863,-2.445,-0.792,0.622,1.763,-4.090,-2.239,1.897,0.066,-0.154,8.759,-2.573,1.182,0.000,-0.000
129.488,-2.063,43.219,76.009,75.322,101.284,8.000,-0.071,-0.587,0.259,-0.676,-0.446,-0.661,0.511,-0.220,-0.342,0.780,0.979,-2.263,-0.826,0.932,1.778,-2.815,-3.290,0.965,0.250,-0.202,8.765,-2.611,1.174,-0.000,-0.000
129.488,5.280,29.188,82.896,75.919,98.944,8.000,-0.071,-0.595,0.259,-0.681,-0.451,-0.670,0.510,-0.222,-0.375,0.773,1.009,-2.154,-0.860,1.100,1.769,-2.050,-3.693,0.433,0.329,-0.217,8.767,-2.622,1.172,-0.000,-0.000
129.488,8.833,21.940,86.654,76.097,97.197,8.000,-0.071,-0.598,0.259,-0.686,-0.453,-0.674,0.511,-0.223,-0.404,0.771,1.015,-2.092,-0.890,1.187,1.758,-1.654,-3.852,0.162,0.363,-0.222,8.767,-2.626,1.171,0.000,-0.000
129.488,22.329,-7.590,102.774,76.472,93.153,8.000,-0.071,-0.600,0.259,-0.699,-0.451,-0.675,0.520,-0.224,-0.477,0.769,1.010,-1.799,-0.960,1.479,1.665,-0.029,-4.199,-0.928,0.467,-0.226,8.768,-2.630,1.170,-0.000,-0.000
-114.455,-30.928,99.955,-124.572,-142.672,179.909,8.000,-0.069,0.181,0.259,-0.633,-0.388,0.204,-0.457,1.448,0.414,0.850,1.115,-3.156,1.709,-1.317,1.372,-5.173,-1.117,-1.873,0.094,-0.842,6.973,6.752,0.960,0.000,-0.000
-129.488,23.224,-103.452,-179.909,120.427,84.858,8.000,-0.066,-0.366,0.263,-0.628,-0.525,-0.412,0.396,-0.040,-0.659,0.783,2.466,-2.578,-0.577,0.738,0.671,1.627,-2.537,2.355,0.371,-0.992,8.379,5.901,0.909,0.000,-0.000
-129.488,-7.465,65.095,-105.388,-108.651,179.909,8.000,-0.066,-0.195,0.259,-0.662,0.080,-0.219,0.340,1.550,0.472,0.816,0.716,-4.255,1.794,-1.384,1.640,-3.723,0.222,0.091,0.276,-0.671,8.178,6.152,1.166,0.000,-0.000
