q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
129.488,-34.217,-3.278,155.869,75.876,-92.494,19.000,1,0.147,-0.390,-0.346,-0.169,0.248,1.923,-0.199,0.195,-0.490,-0.211,-6.000,2.096,1.424,1.829,6.000,-0.823,4.527,0.058,0.442,13.247,-3.000,-0.052,0.000,-0.000
129.488,-35.448,-5.840,136.053,70.750,-116.275,19.000,1,-0.163,0.099,0.088,-0.006,0.118,1.785,-0.493,0.018,-0.151,-0.648,-6.000,1.704,1.742,1.800,5.999,-0.819,4.660,0.050,0.441,13.259,-3.000,-0.071,0.000,-0.000
129.488,-38.750,-10.664,88.199,68.706,-112.829,19.000,1,0.297,0.999,0.887,-0.190,0.148,0.197,-0.278,0.202,0.701,-2.044,-6.000,0.884,2.449,1.731,6.000,-0.804,5.016,0.029,0.436,13.286,-3.000,-0.126,0.000,-0.000
129.488,-37.959,-9.549,109.503,67.914,-113.489,19.000,1,-0.023,0.674,0.598,-0.022,0.071,0.846,-0.579,0.022,0.369,-1.501,-5.967,1.033,2.277,1.747,5.952,-0.798,4.929,0.034,0.438,13.277,-3.000,-0.106,-0.000,-0.000
129.488,-40.506,-12.628,100.819,63.230,-81.896,19.000,1,-0.050,0.814,0.722,-0.122,0.029,-0.018,-0.614,0.106,0.549,-2.016,-5.993,0.514,2.783,1.695,6.000,-0.793,5.201,0.018,0.432,13.296,-3.000,-0.155,0.000,-0.000
129.488,-36.524,-7.033,96.854,55.342,-151.360,19.000,1,0.259,0.868,0.771,-0.129,-0.096,0.980,-0.340,0.082,0.527,-1.550,-6.000,1.443,1.942,1.782,5.969,-0.809,4.776,0.043,0.440,13.266,-3.000,-0.085,0.000,-0.000
129.488,-41.730,-13.234,93.456,53.492,-54.503,19.000,1,-0.110,0.654,0.581,-0.245,-0.062,-0.551,-0.489,0.188,0.665,-2.303,-6.000,0.310,2.959,1.678,5.979,-0.780,5.329,0.009,0.429,13.302,-3.000,-0.172,0.000,-0.000
129.488,-36.020,-6.878,101.368,52.403,-156.071,19.000,1,0.211,0.874,0.776,-0.119,-0.159,1.156,-0.382,0.048,0.450,-1.424,-6.000,1.541,1.879,1.787,6.000,-0.817,4.722,0.047,0.440,13.264,-3.000,-0.081,-0.000,-0.000
129.488,-40.914,-12.326,142.054,39.450,-60.669,19.000,1,-0.040,-0.240,-0.213,-0.220,-0.375,0.872,-1.092,-0.004,-0.137,-0.839,-6.000,0.469,2.802,1.695,5.968,-0.783,5.243,0.014,0.432,13.297,-3.000,-0.157,0.000,-0.000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.000,1,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000
