q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
265.393,64.584,-21.756,-103.057,-95.000,-114.159,a_1,-1.551,-1.295,-0.867,-0.662,0.414,-2.257,-0.392,0.005,0.234,-0.095,1.142,-3.248,-0.773,1.723,-3.295,-0.385,-1.379,-0.347,0.712,4.423,-2.898,0.545,1.792,-0.000,-0.000
-70.344,70.614,0.046,-173.030,180.000,232.722,a_1,-1.551,-0.706,-0.648,-0.495,-0.217,-0.423,-0.119,0.599,-0.039,-3.855,0.398,-1.444,-1.428,1.830,-4.917,-0.112,-0.870,2.510,0.779,3.143,2.235,1.709,1.901,-0.000,-0.000
261.462,70.000,-39.512,-67.941,-124.269,177.540,a_1,-1.549,-1.136,0.628,0.480,0.359,-3.227,-0.921,-0.756,0.628,0.357,1.411,-1.783,-0.859,1.689,-0.590,-0.316,-0.822,-0.585,0.639,5.592,-2.231,0.523,1.734,0.000,-0.000
-70.404,76.047,0.666,-101.320,180.000,77.469,a_1,-1.546,0.285,0.217,0.166,-0.188,-3.553,-1.013,-2.704,0.814,-0.608,1.263,-0.728,-1.318,1.813,-4.867,-0.116,-0.882,2.659,0.806,2.704,2.091,1.544,1.917,0.000,-0.000
264.701,65.983,-8.422,-68.762,-120.112,212.943,a_1,-1.544,-1.204,0.633,0.484,0.437,-3.504,-0.821,-2.584,1.075,1.166,1.373,-0.582,-1.180,1.838,-2.352,-0.284,-0.619,-0.124,0.684,4.951,-1.644,0.672,1.783,0.000,-0.000
266.487,61.219,2.869,-95.631,-95.000,-126.313,a_1,-1.538,-1.488,-0.302,-0.231,0.629,-2.374,-0.394,-1.317,0.678,0.599,1.334,-1.683,-1.061,1.813,-4.085,-0.399,-1.640,-0.266,0.716,4.229,-2.991,0.562,1.801,0.000,-0.000
-71.202,69.659,0.001,-129.900,180.000,-282.636,a_1,-1.530,0.232,0.950,0.726,-0.209,-2.642,-0.769,-0.678,0.276,-2.550,1.026,-1.880,-1.503,1.824,-5.227,-0.127,-0.913,2.339,0.785,3.037,1.975,1.618,1.905,0.000,-0.000
260.928,67.806,2.156,-80.668,-111.964,-167.803,a_1,-1.527,-1.338,0.344,0.262,0.601,-3.011,-0.772,-2.144,0.998,1.134,1.305,-1.167,-1.237,1.787,-4.129,-0.379,-0.904,-0.706,0.763,3.562,-3.307,0.222,1.815,0.000,-0.000
269.856,66.140,3.838,-70.000,-108.219,-192.252,a_1,-1.527,-1.066,0.036,0.028,0.558,-1.662,-0.549,-2.933,1.223,1.161,1.285,-0.246,-1.039,1.817,-3.353,-0.440,-2.285,-0.146,0.719,4.264,-3.210,0.709,1.799,0.000,-0.000
-67.464,74.675,16.962,-143.856,180.000,-35.294,a_1,-1.526,-0.365,-0.948,-0.724,-0.142,-2.905,-0.783,-1.143,0.361,-2.298,1.037,-0.013,-0.989,1.757,-5.814,-0.104,-1.106,2.789,0.832,2.215,2.383,1.492,1.930,-0.000,-0.000
-69.651,69.935,0.000,-110.835,180.000,87.277,a_1,-1.525,0.306,0.745,0.569,-0.224,-3.273,-0.945,-1.730,0.572,-1.476,1.242,-1.193,-1.355,1.838,-4.602,-0.119,-1.006,2.555,0.762,3.389,2.255,1.827,1.890,-0.000,-0.000
-75.227,67.034,10.181,-113.064,-91.578,-70.719,a_1,-1.522,-1.284,-0.257,-0.197,0.652,-1.215,-0.044,-2.328,0.612,0.338,1.206,-1.636,-1.409,1.785,-5.739,-0.401,-2.983,1.072,0.782,2.838,-1.723,1.116,1.878,-0.000,-0.000
-70.046,65.693,17.647,-153.406,180.000,-87.155,a_1,-1.521,-0.628,-0.746,-0.570,-0.230,-2.394,-0.643,-0.233,0.169,-2.992,0.940,-0.278,-0.994,1.817,-5.219,-0.111,-0.956,2.355,0.759,3.376,2.318,1.810,1.891,0.000,-0.000
-89.992,67.937,14.233,-89.975,-92.970,-113.895,a_1,-1.520,-1.454,0.086,0.066,0.698,-2.231,-0.310,-3.040,1.056,1.033,1.275,-0.500,-1.420,1.774,-4.978,-0.399,-1.748,-0.032,0.786,3.140,-2.867,0.550,1.853,-0.000,-0.000
270.000,57.652,11.944,-109.719,-91.042,-74.208,a_1,-1.516,-1.242,-0.477,-0.364,0.579,-2.058,-0.268,-1.936,0.555,0.482,1.314,-1.098,-1.124,1.829,-4.206,-0.406,-2.012,0.003,0.691,4.494,-2.718,0.790,1.796,0.000,-0.000
-69.858,70.780,0.000,-101.286,180.000,-267.798,a_1,-1.514,0.327,0.625,0.478,-0.227,-3.476,-0.998,-2.360,0.744,-0.849,1.294,-0.972,-1.321,1.839,-4.478,-0.117,-0.971,2.584,0.762,3.394,2.264,1.820,1.890,0.000,-0.000
-69.618,61.995,14.320,-159.654,180.000,357.624,a_1,-1.513,0.289,-0.333,-0.254,-0.241,-1.655,-0.477,0.108,0.051,-3.225,0.791,-0.923,-1.129,1.844,-5.090,-0.130,-1.141,2.232,0.729,3.762,2.195,1.955,1.873,0.000,-0.000
269.188,69.978,-2.738,-83.227,-158.163,-112.455,a_1,-1.510,-1.102,0.595,0.455,-0.008,-4.599,-1.164,-3.052,0.975,0.500,1.325,-0.969,-1.532,1.828,-3.938,-0.163,0.353,0.679,0.754,3.767,0.060,0.839,1.862,0.000,-0.000
-71.345,69.135,13.632,-89.316,-92.498,262.058,a_1,-1.508,-1.343,0.357,0.273,0.666,-1.136,0.003,-3.660,1.133,0.803,1.261,-0.184,-1.255,1.786,-4.991,-0.365,-3.067,1.572,0.762,3.144,-0.923,1.427,1.871,0.000,-0.000
265.117,60.598,14.822,-103.719,-94.581,269.554,a_1,-1.507,-1.462,-0.325,-0.248,0.647,-2.700,-0.411,-2.257,0.725,0.621,1.330,-0.815,-1.262,1.807,-4.512,-0.378,-1.311,-0.307,0.725,4.019,-2.879,0.480,1.811,-0.000,-0.000
262.129,70.000,-19.392,-71.180,-128.966,-114.517,a_1,-1.506,-1.349,0.391,0.299,0.314,-4.363,-0.981,-2.543,0.927,0.707,1.403,-0.442,-1.495,1.822,-1.475,-0.211,0.094,-0.148,0.666,5.155,-0.932,0.611,1.774,-0.000,-0.000
-86.580,66.049,18.648,-93.821,-94.742,-82.777,a_1,-1.503,-1.473,0.177,0.135,0.668,-2.222,-0.284,-3.733,1.068,1.023,1.301,0.267,-1.350,1.784,-4.598,-0.372,-1.858,0.335,0.757,3.601,-2.178,0.823,1.848,-0.000,-0.000
269.432,59.247,-22.833,-80.599,-119.516,-180.000,a_1,-1.502,-1.253,0.493,0.377,0.398,-2.539,-0.727,-0.343,0.547,0.124,1.411,-2.063,-0.678,1.776,-1.554,-0.341,-1.560,0.131,0.619,5.995,-1.788,1.081,1.729,0.000,-0.000
